Date,Artist Name,Genre,Event Type,Source,Source Type,Location,Audience Engagement,Critical Acclaim,Chart Performance,Upcoming Events,Noteworthy Mentions,Link
4/12/2023 7:02:01 PM,Byte Beats,Hip Hop,Viral Moment,TikTok,Industry News,Global,4629,4,Viral,World Tour,Noteworthy mention 1,https://example.com/news1
4/13/2023 7:02:01 PM,Byte Beats,Rock,Viral Moment,Spotify,Critical Review,Miami,49040,2,Highly Rated,World Tour,Noteworthy mention 2,https://example.com/news2
4/14/2023 7:02:01 PM,Byte Beats,Rock,Viral Moment,Pitchfork,Critical Review,Global,6584,2,Top 10,,Noteworthy mention 3,https://example.com/news3
4/15/2023 7:02:01 PM,Byte Beats,Rock,Album Release,Grammy,Social Media,Chicago,18581,4,Highly Rated,World Tour,Noteworthy mention 4,https://example.com/news4
4/16/2023 7:02:01 PM,Byte Beats,Indie,Album Release,Grammy,Industry News,Miami,11627,1,Top 10,World Tour,Noteworthy mention 5,https://example.com/news5
4/17/2023 7:02:01 PM,Byte Beats,Pop,Album Release,Billboard,Critical Review,Chicago,31090,3,Winner,Award Show,Noteworthy mention 6,https://example.com/news6
4/18/2023 7:02:01 PM,Byte Beats,Rock,New Single,Spotify,Fan Base,Los Angeles,18465,3,Top 10,Europe Tour,Noteworthy mention 7,https://example.com/news7
4/19/2023 7:02:01 PM,Byte Beats,Rock,Album Release,TikTok,Fan Base,Miami,40053,4,Top 10,,Noteworthy mention 8,https://example.com/news8
4/20/2023 7:02:01 PM,Byte Beats,Pop,Award Win,Pitchfork,Social Media,Miami,38107,4,Winner,,Noteworthy mention 9,https://example.com/news9
4/21/2023 7:02:01 PM,Byte Beats,Pop,Album Release,Grammy,Industry News,Chicago,6242,3,Viral,Award Show,Noteworthy mention 10,https://example.com/news10
4/22/2023 7:02:01 PM,Byte Beats,Rock,Album Release,Grammy,Industry News,New York,8021,2,Top 10,Europe Tour,Noteworthy mention 11,https://example.com/news11
4/23/2023 7:02:01 PM,Byte Beats,Hip Hop,Chart Topping,Grammy,Critical Review,Global,43192,4,Top 10,World Tour,Noteworthy mention 12,https://example.com/news12
4/24/2023 7:02:01 PM,Byte Beats,Rock,Award Win,TikTok,Critical Review,Los Angeles,14166,3,Viral,,Noteworthy mention 13,https://example.com/news13
4/25/2023 7:02:01 PM,Byte Beats,Rock,Chart Topping,Billboard,Social Media,Los Angeles,23515,3,Highly Rated,Europe Tour,Noteworthy mention 14,https://example.com/news14
4/26/2023 7:02:01 PM,Byte Beats,Indie,Chart Topping,Billboard,Fan Base,New York,33154,4,Top 10,Music Festival,Noteworthy mention 15,https://example.com/news15
4/27/2023 7:02:01 PM,Byte Beats,Electronic,Album Release,Pitchfork,Fan Base,Chicago,1762,1,Winner,,Noteworthy mention 16,https://example.com/news16
4/28/2023 7:02:01 PM,Byte Beats,Rock,New Single,TikTok,Social Media,Los Angeles,43797,4,Viral,Europe Tour,Noteworthy mention 17,https://example.com/news17
4/29/2023 7:02:01 PM,Byte Beats,Indie,Award Win,Billboard,Critical Review,Global,3517,2,Top 10,Music Festival,Noteworthy mention 18,https://example.com/news18
4/30/2023 7:02:01 PM,Byte Beats,Electronic,Album Release,Spotify,Fan Base,New York,18511,4,Top 10,Music Festival,Noteworthy mention 19,https://example.com/news19
5/1/2023 7:02:01 PM,Byte Beats,Indie,Viral Moment,TikTok,Social Media,Miami,31849,3,Highly Rated,World Tour,Noteworthy mention 20,https://example.com/news20
