Date,Song ID,Song Name,Artist Name,Release Date,Genre,Stream Counts,Download Counts,Chart Positions,Social Media Mentions,Social Media Engagement,YouTube Views,Playlist Adds,Listener Age Group,Geographical Location,Listener Gender,Campaign Type,Spend,Reach,Engagement Rate
2023-11-26 03:17:39.105863,6,Digital Dreams,Orchestra of Lights,2024-04-28 03:17:39.105863,Indie,29891,1385,15,1775,32216,66542,694,18-24,Germany,Male,Instagram Ads,2142,56783,2.31
2025-02-05 03:17:39.105863,1,Rhythm of the Code,Phantom Harmony,2024-05-12 03:17:39.105863,Ambient,1430,1475,52,628,56128,55517,591,35-44,Australia,Female,Twitter Campaign,3879,36653,0.75
2024-01-11 03:17:39.105863,2,Love in the Time of Data,Phantom Harmony,2024-05-01 03:17:39.105863,Rock,15287,1861,69,1370,67779,33096,766,35-44,Australia,Female,Twitter Campaign,5074,130312,2.55
2024-07-25 03:17:39.105863,7,Nightfall Symphony,Deep Bass Nine,2024-05-03 03:17:39.105863,Rock,11246,897,75,1493,99087,96488,281,25-34,France,Female,Facebook Ads,6948,110547,0.22
2025-03-31 03:17:39.105863,9,Echoes of Tomorrow,Phantom Harmony,2024-05-10 03:17:39.105863,Ambient,7141,905,93,695,59902,58337,413,35-44,USA,Other,Instagram Ads,3795,181227,1.95
2023-12-15 03:17:39.105863,1,Harmonic Distortion,Phantom Harmony,2024-04-24 03:17:39.105863,Electronic,18091,406,88,265,81382,71962,161,35-44,Germany,Female,Instagram Ads,1254,75074,4.46
2024-07-11 03:17:39.105863,3,Digital Dreams,Orchestra of Lights,2024-04-25 03:17:39.105863,Ambient,3773,692,63,208,1308,87897,447,18-24,UK,Other,Instagram Ads,5260,90551,1.08
2024-07-03 03:17:39.105863,3,Bassline Rapture,Vintage Beats,2024-05-03 03:17:39.105863,Electronic,13796,1970,30,1641,51154,73194,398,45-54,UK,Other,YouTube Ads,5800,57701,2.46
2023-08-15 03:17:39.105863,8,Nightfall Symphony,Phantom Harmony,2024-05-09 03:17:39.105863,Rock,19424,914,50,1541,97923,50301,991,45-54,France,Male,Facebook Ads,7455,144000,1.38
2024-03-11 03:17:39.105863,8,Echoes of Tomorrow,Vintage Beats,2024-05-15 03:17:39.105863,Ambient,18707,565,97,838,38356,56251,835,45-54,Australia,Other,Instagram Ads,3183,116587,1.7
2023-12-19 03:17:39.105863,2,Echoes of Tomorrow,Binary Beats,2024-05-05 03:17:39.105863,Pop,7281,935,16,465,25077,29500,239,25-34,Germany,Female,Spotify Ads,3002,133142,0.77
